Type	Base (bp)	Reads number	Reads mean length (bp)	Reads N50 (bp)	Longest Reads (bp)	mean quality	test1	test3	test2	test4	test5	test8
Raw Reads	1,242,225,843	216,950	5,725.86	11,624	100,946	19.50	0	0	0
Filtered Reads	1,242,225,843	216,950	5,725.86	11,624	100,946	19.50	0	0	0
